Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Locations;Adress generated;Latitude;Longitude;name;description
345217772;CATTIAUX ROCHETTES;ZI LES ROCHETTES MORIGNY-CHAMPIGNY;91152;ETAMPES CEDEX;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;ZI LES ROCHETTES MORIGNY-CHAMPIGNY 91152 ETAMPES CEDEX;91152 ETAMPES CEDEX;45.78713;0.44647;CATTIAUX ROCHETTES;SIREN : 345217772 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
392447454;SCP NICOLAS DUTOUR ET XAVIER ROUX NOTAIRES ASSOCIES;1 PLACE DE LA REPUBLIQUE BP 19;63430;PONT DU CHATEAU;741A Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;1 PLACE DE LA REPUBLIQUE BP 19 63430 PONT DU CHATEAU;1 PLACE DE LA REPUBLIQUE BP 19 63430 PONT DU CHATEAU;45.796936;3.248591;SCP NICOLAS DUTOUR ET XAVIER ROUX NOTAIRES ASSOCIES;SIREN : 392447454 | NAF : 741A Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
380363911;GENERALE D´INFOGRAPHIE;LE SOLEIL LEVANT - BATIMENT LE KYOTO 11, CHEMIN DES ANCIENNES VIGNES;69410;CHAMPAGNE AU MONT D´OR;6202A Programmation, conseil et autres activités informatiques;SALARIE;Etendue;LE SOLEIL LEVANT - BATIMENT LE KYOTO 11, CHEMIN DES ANCIENNES VIGNES 69410 CHAMPAGNE AU MONT D´OR;LE SOLEIL LEVANT - BATIMENT LE KYOTO 11, CHEMIN DES ANCIENNES VIGNES 69410 CHAMPAGNE AU MONT D´OR;45.800997;4.775083;GENERALE D´INFOGRAPHIE;SIREN : 380363911 | NAF : 6202A Programmation, conseil et autres activités informatiques |Portée : Etendue
765500723;MILLER GRAPHICS LIMOGES;10 12 RUE LEON WALRAS ;87000;LIMOGES;1813Z Imprimerie et services annexes;SALARIE;Etendue;10 12 RUE LEON WALRAS  87000 LIMOGES;10 12 RUE LEON WALRAS  87000 LIMOGES;45.804755;1.284387;MILLER GRAPHICS LIMOGES;SIREN : 765500723 | NAF : 1813Z Imprimerie et services annexes |Portée : Etendue
776515124;JACQUES FAMY SARL NAVET;ZAE DE MOUTTI ;74540;ALBY SUR CHERAN;4312A Démolition et préparation des sites;SALARIE;Etendue;ZAE DE MOUTTI  74540 ALBY SUR CHERAN;ZAE DE MOUTTI  74540 ALBY SUR CHERAN;45.81509;6.002737;JACQUES FAMY SARL NAVET;SIREN : 776515124 | NAF : 4312A Démolition et préparation des sites |Portée : Etendue
421259615;SOCIETE LEGRAND;128 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY ;87045;LIMOGES CEDEX;741J Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;128 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY  87045 LIMOGES CEDEX;128 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY  87045 LIMOGES CEDEX;45.824812;1.27759;SOCIETE LEGRAND;SIREN : 421259615 | NAF : 741J Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
490922812;CAISSE RSI LIMOUSIN;18 RUE ANDRE MERIGOU CS 30229;87006;LIMOGES CEDEX 1;8430A Sécurité sociale obligatoire;SALARIE;Etendue;18 RUE ANDRE MERIGOU CS 30229 87006 LIMOGES CEDEX 1;18 RUE ANDRE MERIGOU  87006 LIMOGES CEDEX 1;45.829844;1.28395;CAISSE RSI LIMOUSIN;SIREN : 490922812 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
334111820;SERVICES AUVERGNE METAUX;185, rue Pierre Gilles de Gennes ZAC des Montels III;63118;CEBAZAT;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;185, rue Pierre Gilles de Gennes ZAC des Montels III 63118 CEBAZAT;185, rue Pierre Gilles de Gennes ZAC des Montels III 63118 CEBAZAT;45.831268;3.100247;SERVICES AUVERGNE METAUX;SIREN : 334111820 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
399265099;LENNIE;Parc Indus.de la Plaine de l'Ain 1085, AllÃ©e des ChÃªnes;1150;ST VULBAS;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;Parc Indus.de la Plaine de l'Ain 1085, AllÃ©e des ChÃªnes 1150 ST VULBAS;01150 ST VULBAS;45.832913;5.290324;LENNIE;SIREN : 399265099 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
448235036;PRODEX CHARNOZ;Parc Indus.de la Plaine de l'Ain 1085, AllÃ©e des ChÃªnes;1150;ST VULBAS;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;Parc Indus.de la Plaine de l'Ain 1085, AllÃ©e des ChÃªnes 1150 ST VULBAS;01150 ST VULBAS;45.832913;5.290324;PRODEX CHARNOZ;SIREN : 448235036 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
411610918;FORGES DE BELLES ONDES;2 RUE MONTGOLFIER -ZI DE BOISSE -BP 78 ;87203;SAINT JUNIEN-FRANCE;2812Z Fabrication de machines d'usage général;SALARIE;Etendue;2 RUE MONTGOLFIER -ZI DE BOISSE -BP 78  87203 SAINT JUNIEN-FRANCE;2 RUE MONTGOLFIER -ZI DE BOISSE -BP 78  87203 SAINT JUNIEN-FRANCE;45.88716;0.901165;FORGES DE BELLES ONDES;SIREN : 411610918 | NAF : 2812Z Fabrication de machines d'usage général |Portée : Etendue
329187900;CAISSE REGIONALE DU CREDIT MUTUEL SAVOIE-MONT BLANC;99, AVENUE DE GENEVE BOITE POSTALE 564;74054;ANNECY CEDEX;;SALARIE;Etendue;99, AVENUE DE GENEVE BOITE POSTALE 564 74054 ANNECY CEDEX;99, AVENUE DE GENEVE 74054 ANNECY CEDEX;45.918252;6.123636;CAISSE REGIONALE DU CREDIT MUTUEL SAVOIE-MONT BLANC;SIREN : 329187900 | NAF :  |Portée : Etendue
309432961;FEDERATION DU CREDIT MUTUEL SAVOIE-MONT BLANC;99, AVENUE DE GENEVE BOITE POSTALE 564;74054;ANNECY CEDEX;9411Z Activités des organisations économiques, patronales et professionnelles;SALARIE;Etendue;99, AVENUE DE GENEVE BOITE POSTALE 564 74054 ANNECY CEDEX;99, AVENUE DE GENEVE  74054 ANNECY CEDEX;45.918252;6.123636;FEDERATION DU CREDIT MUTUEL SAVOIE-MONT BLANC;SIREN : 309432961 | NAF : 9411Z Activités des organisations économiques, patronales et professionnelles |Portée : Etendue
543780357;MAILLAND;497, RUE AMPERE ;69400;VILLEFRANCHE-SUR-SAONE;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;497, RUE AMPERE  69400 VILLEFRANCHE-SUR-SAONE;497, RUE AMPERE  69400 VILLEFRANCHE-SUR-SAONE;45.987238;4.727615;MAILLAND;SIREN : 543780357 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
491491528;SCP SIMOND-TISSOT NOTAIRES ASSOCIES;LE BOURG BP 7;74340;SAMOENS;6910Z Activités juridiques;SALARIE;Etendue;LE BOURG BP 7 74340 SAMOENS;LE BOURG BP 7 74340 SAMOENS;46.084044;6.728173;SCP SIMOND-TISSOT NOTAIRES ASSOCIES;SIREN : 491491528 | NAF : 6910Z Activités juridiques |Portée : Etendue
428226294;EURL LES NATIONS;13, BOULEVARD DE RUSSIE ;3200;VICHY;5510Z Hôtels et hébergement similaire;SALARIE;Etendue;13, BOULEVARD DE RUSSIE  3200 VICHY;13, BOULEVARD DE RUSSIE  3200 VICHY;46.121812;3.418847;EURL LES NATIONS;SIREN : 428226294 | NAF : 5510Z Hôtels et hébergement similaire |Portée : Etendue
764200218;JEAN FAMY FAMY SAS;415 ROUTE DE LA POSTE ;1200;CHATILLON EN M;4312A Démolition et préparation des sites;SALARIE;Etendue;415 ROUTE DE LA POSTE  1200 CHATILLON EN M;415 ROUTE DE LA POSTE  1200 CHATILLON EN M;46.14021;5.79694;JEAN FAMY FAMY SAS;SIREN : 764200218 | NAF : 4312A Démolition et préparation des sites |Portée : Etendue
402323497;SCP CERCLIER-BODEAU - NOTAIRES ASSOCIES;1 RUE SYLVAIN GRATEYROLLES BP 106;23002;GUERET;741A Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;1 RUE SYLVAIN GRATEYROLLES BP 106 23002 GUERET;1 RUE SYLVAIN GRATEYROLLES 23002 GUERET;46.171471;1.86683;SCP CERCLIER-BODEAU - NOTAIRES ASSOCIES;SIREN : 402323497 | NAF : 741A Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
;SCP THIERY MANIGAND;4 RUE GENERAL DEBENEY BP 23 ;1001;BOURG EN BRESSE CEDEX;6910Z Activités juridiques;SALARIE;Etendue;4 RUE GENERAL DEBENEY BP 23  1001 BOURG EN BRESSE CEDEX;4 RUE GENERAL DEBENEY   1001 BOURG EN BRESSE CEDEX;46.206216;5.224024;SCP THIERY MANIGAND;SIREN :  | NAF : 6910Z Activités juridiques |Portée : Etendue
685450025;MARINGUE SAGETAT;33, BOULEVARD DE LA RESISTANCE ;71000;MACON;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;33, BOULEVARD DE LA RESISTANCE  71000 MACON;33, BOULEVARD DE LA RESISTANCE  71000 MACON;46.291613;4.824485;MARINGUE SAGETAT;SIREN : 685450025 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
333361988;FOURNITURES TECHNIQUES INDUSTRIE;1, RUE DE LA GRANGE LAIDET ZI DE SAINT-LIGUAIRE - CS28627;79026;NIORT CEDEX 9;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;1, RUE DE LA GRANGE LAIDET ZI DE SAINT-LIGUAIRE - CS28627 79026 NIORT CEDEX 9;1, RUE DE LA GRANGE LAIDET ZI DE SAINT-LIGUAIRE - CS28627 79026 NIORT CEDEX 9;46.310708;-0.491297;FOURNITURES TECHNIQUES INDUSTRIE;SIREN : 333361988 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
481514149;ASSURIMA;118 AVENUE DE PARIS ;79000;NIORT;660E Assurance;SALARIE;Etendue;118 AVENUE DE PARIS  79000 NIORT;118 AVENUE DE PARIS  79000 NIORT;46.327972;-0.447043;ASSURIMA;SIREN : 481514149 | NAF : 660E Assurance |Portée : Etendue
481511632;IMA ASSURANCES;118 AVENUE DE PARIS ;79000;NIORT;6512Z Assurance;SALARIE;Etendue;118 AVENUE DE PARIS  79000 NIORT;118 AVENUE DE PARIS  79000 NIORT;46.327972;-0.447043;IMA ASSURANCES;SIREN : 481511632 | NAF : 6512Z Assurance |Portée : Etendue
430336552;INTER MUTUELLES ASSISTANCE SERVICES;118 AV DE PARIS ;79000;NIORT;748K Services divers fournis principalement aux entreprises;SALARIE;Etendue;118 AV DE PARIS  79000 NIORT;118 AV DE PARIS  79000 NIORT;46.327972;-0.447043;INTER MUTUELLES ASSISTANCE SERVICES;SIREN : 430336552 | NAF : 748K Services divers fournis principalement aux entreprises |Portée : Etendue
494671795;INTER MUTUELLES HABITAT;118 AVENUE DE PARIS ;79000;NIORT;660E Assurance;SALARIE;Etendue;118 AVENUE DE PARIS  79000 NIORT;118 AVENUE DE PARIS  79000 NIORT;46.327972;-0.447043;INTER MUTUELLES HABITAT;SIREN : 494671795 | NAF : 660E Assurance |Portée : Etendue
320281025;INTER MUTUELLE ASSISTANCE;118 AV DE PARIS BP 300 ;79033;NIORT CEDEX;6420Z Activités des sociétés holding;SALARIE;Etendue;118 AV DE PARIS BP 300  79033 NIORT CEDEX;118 AV DE PARIS 79033 NIORT CEDEX;46.327972;-0.447043;INTER MUTUELLE ASSISTANCE;SIREN : 320281025 | NAF : 6420Z Activités des sociétés holding |Portée : Etendue
656650090;JEAN FAMY LARUE SAS;ROUTE DE CHEVREAUX ;71480;CUISEAUX;4312A Démolition et préparation des sites;SALARIE;Etendue;ROUTE DE CHEVREAUX  71480 CUISEAUX;ROUTE DE CHEVREAUX  71480 CUISEAUX;46.500812;5.397496;JEAN FAMY LARUE SAS;SIREN : 656650090 | NAF : 4312A Démolition et préparation des sites |Portée : Etendue
218601946;MAIRIE DE POITIERS;15 PLACE DU MARECHAL LECLERC CS 10569 BP 569 BP 569;86021;POITIERS CEDEX;8411Z Administration générale, économique et sociale;SALARIE;Etendue;15 PLACE DU MARECHAL LECLERC CS 10569 BP 569 BP 569 86021 POITIERS CEDEX;15 PLACE DU MARECHAL LECLERC 86021 POITIERS CEDEX;46.580151;0.341099;MAIRIE DE POITIERS;SIREN : 218601946 | NAF : 8411Z Administration générale, économique et sociale |Portée : Etendue
382515484;JEAN FAMY MARMONT SARL;25 ROUTE DES BRANGES ;71500;LOUHANS;4312A Démolition et préparation des sites;SALARIE;Etendue;25 ROUTE DES BRANGES  71500 LOUHANS;25 ROUTE DES BRANGES  71500 LOUHANS;46.643137;5.17982;JEAN FAMY MARMONT SARL;SIREN : 382515484 | NAF : 4312A Démolition et préparation des sites |Portée : Etendue
545550212;SOCIETE VENDEENNE D APPROVISIONNEMENT METALLURGIQUE ET AGRICOLE;ZONE ACTI-SUD RUE RENE COTY;85000;LA ROCHE SUR YON;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;ZONE ACTI-SUD RUE RENE COTY 85000 LA ROCHE SUR YON;ZONE ACTI-SUD RUE RENE COTY 85000 LA ROCHE SUR YON;46.658729;-1.446192;SOCIETE VENDEENNE D APPROVISIONNEMENT METALLURGIQUE ET AGRICOLE;SIREN : 545550212 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
307049015;CAISSE FEDERALE DU CREDIT MUTUEL OCEAN;34 RUE LEANDRE MERLET ;85000;LA ROCHE SUR YON;6419Z Intermédiation monétaire;SALARIE;Etendue;34 RUE LEANDRE MERLET  85000 LA ROCHE SUR YON;34 RUE LEANDRE MERLET  85000 LA ROCHE SUR YON;46.669468;-1.449617;CAISSE FEDERALE DU CREDIT MUTUEL OCEAN;SIREN : 307049015 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
786444463;FEDERATION DU CREDIT MUTUEL OCEAN;34 RUE LEANDRE MERLET ;85000;LA ROCHE SUR YON;6419Z Intermédiation monétaire;SALARIE;Etendue;34 RUE LEANDRE MERLET  85000 LA ROCHE SUR YON;34 RUE LEANDRE MERLET  85000 LA ROCHE SUR YON;46.669468;-1.449617;FEDERATION DU CREDIT MUTUEL OCEAN;SIREN : 786444463 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
603720236;CENTRE ELECTRIQUE ENTREPRISE;RUE DE LA BRASSERIE ;18200;ST AMAND MONTROND;452F Construction d'ouvrages de bâtiment ou de génie civil;SALARIE;Etendue;RUE DE LA BRASSERIE  18200 ST AMAND MONTROND;RUE DE LA BRASSERIE  18200 ST AMAND MONTROND;46.732457;2.497115;CENTRE ELECTRIQUE ENTREPRISE;SIREN : 603720236 | NAF : 452F Construction d'ouvrages de bâtiment ou de génie civil |Portée : Etendue
391160371;SLM;ZONE VERTE - BP36 ;71880;CHATENOY LE ROYAL;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;ZONE VERTE - BP36  71880 CHATENOY LE ROYAL;ZONE VERTE - BP36  71880 CHATENOY LE ROYAL;46.793923;4.810669;SLM;SIREN : 391160371 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
333520476;BFC AUTOMATISMES;6, RUE DE LA MARE ;71530;CRISSEY;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;6, RUE DE LA MARE  71530 CRISSEY;6, RUE DE LA MARE  71530 CRISSEY;46.821639;4.86709;BFC AUTOMATISMES;SIREN : 333520476 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
626320212;FRADIN BRETTON;PARC D'ACTIVITES DE SAINT PORCHAIRE - ZONE DE LA FERRIERE 4 RUE JEAN MERMOZ;79308;BRESSUIRE;4321B Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;PARC D'ACTIVITES DE SAINT PORCHAIRE - ZONE DE LA FERRIERE 4 RUE JEAN MERMOZ 79308 BRESSUIRE;PARC D'ACTIVITES DE SAINT PORCHAIRE - ZONE DE LA FERRIERE 4 RUE JEAN MERMOZ 79308 BRESSUIRE;46.851129;-0.472038;FRADIN BRETTON;SIREN : 626320212 | NAF : 4321B Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
384329330;SOCIETE NOUVELLE ELECTRO FLUIDES;1 AVENUE HENRI DEBORD ;18230;SAINT DOULCHARD;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;1 AVENUE HENRI DEBORD  18230 SAINT DOULCHARD;1 AVENUE HENRI DEBORD  18230 SAINT DOULCHARD;47.095632;2.371606;SOCIETE NOUVELLE ELECTRO FLUIDES;SIREN : 384329330 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
857802078;COMPTOIR D'ACIERS SPECIAUX DE L'OUEST;ZAC DE LA PETITE MEILLERAIE ;44840;LES SORNIERES;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;ZAC DE LA PETITE MEILLERAIE  44840 LES SORNIERES;44840 LES SORNIERES;47.150249;-1.533439;COMPTOIR D'ACIERS SPECIAUX DE L'OUEST;SIREN : 857802078 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
856802145;DOCKS  GENERAUX;4, RUE DE L'ILE MACE ;44400;REZE CEDEX;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;4, RUE DE L'ILE MACE  44400 REZE CEDEX;4, RUE DE L'ILE MACE  44400 REZE CEDEX;47.195478;-1.554517;DOCKS  GENERAUX;SIREN : 856802145 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
392577219;APPART SERVICE GESTION SYNDIC;12 RUE DE LA VERRERIE ;44100;NANTES;6832A Activités immobilières pour compte de tiers;SALARIE;Etendue;12 RUE DE LA VERRERIE  44100 NANTES;12 RUE DE LA VERRERIE  44100 NANTES;47.21044;-1.566757;APPART SERVICE GESTION SYNDIC;SIREN : 392577219 | NAF : 6832A Activités immobilières pour compte de tiers |Portée : Etendue
401491477;GROUPE FRANCE EPARGNE;12 RUE DE LA VERRERIE ;44100;NANTES;6831Z Activités immobilières pour compte de tiers;SALARIE;Etendue;12 RUE DE LA VERRERIE  44100 NANTES;12 RUE DE LA VERRERIE  44100 NANTES;47.21044;-1.566757;GROUPE FRANCE EPARGNE;SIREN : 401491477 | NAF : 6831Z Activités immobilières pour compte de tiers |Portée : Etendue
412163263;DOM'VILLE'SERVICES;12 RUE DE LA VERRERIE CS20519;44105;NANTES CEDEX 4;5510Z Hôtels et hébergement similaire;SALARIE;Etendue;12 RUE DE LA VERRERIE CS20519 44105 NANTES CEDEX 4;12 RUE DE LA VERRERIE 44105 NANTES CEDEX 4;47.21044;-1.566757;DOM'VILLE'SERVICES;SIREN : 412163263 | NAF : 5510Z Hôtels et hébergement similaire |Portée : Etendue
855801072;BANQUE CIC OUEST;2 AVENUE JEAN-CLAUDE BONDUELLE ;44000;NANTES;6419Z Intermédiation monétaire;SALARIE;Etendue;2 AVENUE JEAN-CLAUDE BONDUELLE  44000 NANTES;2 AVENUE JEAN-CLAUDE BONDUELLE  44000 NANTES;47.213176;-1.544786;BANQUE CIC OUEST;SIREN : 855801072 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
264400391;CENTRE COMMUNAL D'ACTION SOCIALE DE NANTES;1 BIS PLACE SAINT SIMILIEN BP 63625;44000;NANTES;8899B Autre action sociale sans hébergement;SALARIE;Etendue;1 BIS PLACE SAINT SIMILIEN BP 63625 44000 NANTES;1 BIS PLACE SAINT SIMILIEN BP 63625 44000 NANTES;47.218505;-1.544658;CENTRE COMMUNAL D'ACTION SOCIALE DE NANTES;SIREN : 264400391 | NAF : 8899B Autre action sociale sans hébergement |Portée : Etendue
315735456;GUILMAN;RUE DU MOULIN DE LA ROUSSELIERE ;44807;SAINT HERBLAIN CEDEX;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;RUE DU MOULIN DE LA ROUSSELIERE  44807 SAINT HERBLAIN CEDEX;RUE DU MOULIN DE LA ROUSSELIERE  44807 SAINT HERBLAIN CEDEX;47.231398;-1.64336;GUILMAN;SIREN : 315735456 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
562821330;BURDIN BOSSERT;26, RUE ALBERT THOMAS ;25000;BESANCON;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;26, RUE ALBERT THOMAS  25000 BESANCON;26, RUE ALBERT THOMAS  25000 BESANCON;47.237403;5.982999;BURDIN BOSSERT;SIREN : 562821330 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
381807841;R3EI;2C RUE DE L'ERMITAGE-ZAC DE PALENTE ;25000;BESANCON;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;2C RUE DE L'ERMITAGE-ZAC DE PALENTE  25000 BESANCON;2C RUE DE L'ERMITAGE-ZAC DE PALENTE  25000 BESANCON;47.237829;6.024054;R3EI;SIREN : 381807841 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
330792789;ALTAVIA VICTOR;ZA LES HAUTS DE COUERON RUE DES FORGERONS;44220;COUERON;7311Z Publicité;SALARIE;Etendue;ZA LES HAUTS DE COUERON RUE DES FORGERONS 44220 COUERON;ZA LES HAUTS DE COUERON RUE DES FORGERONS 44220 COUERON;47.238811;-1.667775;ALTAVIA VICTOR;SIREN : 330792789 | NAF : 7311Z Publicité |Portée : Etendue
870800299;CAISSE REGIONALE DE CREDIT MUTUEL DE LACO;46 RUE DU PORT BOYER ;44000;NANTES;6419Z Intermédiation monétaire;SALARIE;Etendue;46 RUE DU PORT BOYER  44000 NANTES;46 RUE DU PORT BOYER  44000 NANTES;47.241093;-1.534548;CAISSE REGIONALE DE CREDIT MUTUEL DE LACO;SIREN : 870800299 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
504514555;CM-CIC SERVICES;46 RUE PORT BOYER ;44300;NANTES;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;SALARIE;Etendue;46 RUE PORT BOYER  44300 NANTES;46 RUE PORT BOYER  44300 NANTES;47.241093;-1.534548;CM-CIC SERVICES;SIREN : 504514555 | NAF : 6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite |Portée : Etendue
788355022;FEDERATION DU CREDIT MUTUEL DE LACO;46 RUE DU PORT BOYER ;44000;NANTES;9411Z Activités des organisations économiques, patronales et professionnelles;SALARIE;Etendue;46 RUE DU PORT BOYER  44000 NANTES;46 RUE DU PORT BOYER  44000 NANTES;47.241093;-1.534548;FEDERATION DU CREDIT MUTUEL DE LACO;SIREN : 788355022 | NAF : 9411Z Activités des organisations économiques, patronales et professionnelles |Portée : Etendue
310791363;INTER MUTUELLES ASSISTANCE VOYAGES;10 RUE HENRI PICHERIT ;44000;NANTES;633Z Agences de voyage;SALARIE;Etendue;10 RUE HENRI PICHERIT  44000 NANTES;10 RUE HENRI PICHERIT  44000 NANTES;47.254332;-1.552389;INTER MUTUELLES ASSISTANCE VOYAGES;SIREN : 310791363 | NAF : 633Z Agences de voyage |Portée : Etendue
422715458;INTER MUTUELLES TELEASSISTANCE;10 RUE HENRI PICHERIT ;44323;NANTES;8020Z Activités liées aux systèmes de sécurité;SALARIE;Etendue;10 RUE HENRI PICHERIT  44323 NANTES;10 RUE HENRI PICHERIT  44323 NANTES;47.254332;-1.552389;INTER MUTUELLES TELEASSISTANCE;SIREN : 422715458 | NAF : 8020Z Activités liées aux systèmes de sécurité |Portée : Etendue
353259922;INTER MUTUELLES ASSISTANCE TECHNOLOGIES;10 RUE HENRI PICHERIT - BP 42346 BP 42346;44323;NANTES CEDEX 3;721Z Conseil en systèmes informatiques;SALARIE;Etendue;10 RUE HENRI PICHERIT - BP 42346 BP 42346 44323 NANTES CEDEX 3;10 RUE HENRI PICHERIT 44323 NANTES CEDEX 3;47.254332;-1.552389;INTER MUTUELLES ASSISTANCE TECHNOLOGIES;SIREN : 353259922 | NAF : 721Z Conseil en systèmes informatiques |Portée : Etendue
490964103;CAISSE DU REGIME SOCIAL DES INDEPENDANTS DES PAYS DE LOIRE;8 RUE ALBERT DE DION ;44701;ORVAULT;753A Sécurité sociale obligatoire;SALARIE;Etendue;8 RUE ALBERT DE DION  44701 ORVAULT;8 RUE ALBERT DE DION  44701 ORVAULT;47.256195;-1.623922;CAISSE DU REGIME SOCIAL DES INDEPENDANTS DES PAYS DE LOIRE;SIREN : 490964103 | NAF : 753A Sécurité sociale obligatoire |Portée : Etendue
444477061;CAPPE SOREDIS;6, RUE DE LA GARENNE ;44700;ORVAULT;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;6, RUE DE LA GARENNE  44700 ORVAULT;6, RUE DE LA GARENNE  44700 ORVAULT;47.259564;-1.644334;CAPPE SOREDIS;SIREN : 444477061 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
490963642;CAISSE FRANCHE COMTE REGIME SOCIAL DES INDEPENDANTS;3 ROUTE DE CHATILLON LE DUC BP 3005;25045;BESANCON CEDEX;8430A Sécurité sociale obligatoire;SALARIE;Etendue;3 ROUTE DE CHATILLON LE DUC BP 3005 25045 BESANCON CEDEX;3 ROUTE DE CHATILLON LE DUC 25045 BESANCON CEDEX;47.264008;6.024054;CAISSE FRANCHE COMTE REGIME SOCIAL DES INDEPENDANTS;SIREN : 490963642 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
384807491;SARL IBCE;488 RUE DARDELAIN ;21160;MARSANNAY LA COTE;453A Travaux d'installation;SALARIE;Etendue;488 RUE DARDELAIN  21160 MARSANNAY LA COTE;488 RUE DARDELAIN  21160 MARSANNAY LA COTE;47.275453;5.007595;SARL IBCE;SIREN : 384807491 | NAF : 453A Travaux d'installation |Portée : Etendue
342102548;ALAIN DESPLATS NOTAIRE;1 PLACE MONGE BP 51;21210;SAULIEU;741A Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;1 PLACE MONGE BP 51 21210 SAULIEU;1 PLACE MONGE BP 51 21210 SAULIEU;47.279494;4.22868;ALAIN DESPLATS NOTAIRE;SIREN : 342102548 | NAF : 741A Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
16750556;ETABLISSEMENTS BOUTILLON;44 BIS, RUE DE LONGVIC ;21300;CHENOVE;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;44 BIS, RUE DE LONGVIC  21300 CHENOVE;44 BIS, RUE DE LONGVIC  21300 CHENOVE;47.286779;5.015656;ETABLISSEMENTS BOUTILLON;SIREN : 16750556 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
443737010;COFARIS CONSORTIUM QUATRE SAS;2 RUE DE BORDEBURE PARC D'ACTIVITES LA GRANGE BARBIER;37250;MONTBAZON;6420Z Activités des sociétés holding;SALARIE;Générale;2 RUE DE BORDEBURE PARC D'ACTIVITES LA GRANGE BARBIER 37250 MONTBAZON;2 RUE DE BORDEBURE PARC D'ACTIVITES LA GRANGE BARBIER 37250 MONTBAZON;47.286984;0.713777;COFARIS CONSORTIUM QUATRE SAS;SIREN : 443737010 | NAF : 6420Z Activités des sociétés holding |Portée : Générale
15650617;DURUPT;4, AVENUE DE L'EUROPE ;21600;LONGVIC;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;4, AVENUE DE L'EUROPE  21600 LONGVIC;4, AVENUE DE L'EUROPE  21600 LONGVIC;47.298427;5.056483;DURUPT;SIREN : 15650617 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
